"SRR975569.normal_colon","SRR975572.normal_colon","SRR975574.normal_colon","SRR975575.normal_colon","SRR975576.normal_colon","SRR975577.normal_colon","SRR975580.normal_colon","SRR975582.normal_colon","SRR975585.normal_colon","SRR975586.normal_colon"
0,0,0,0.014777,0.051289,0,0,0,0,0
0.010591,0.011634,0,0,0,0,0,0,0,0
0.008195,0,0,0,0,0,0,0.006254,0,0.017954
0,0,0,0,0,0,0,0,0,0
0.00695638036117381,0.00109712490594432,0.00182537246049661,0.0019917475545523,0.00324288826185102,0.0037287035364936,0,0.00102772272385252,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0.037992,0.020059,0,0.041396,0,0.030743,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.041197,0,0
0,0,0.0243814298093588,0,0.0158700281629116,0,0,0.0285882842287695,0.0128718695840555,0
0,0.017135,0,0,0.015965,0,0,0,0.026379,0
0.051607,0.03943,0.021545,0.06789,0.059208,0,0.028944,0.023035,0,0.075641
0,0.054036,0.020807,0.064626,0.019472,0.031138,0.052486,0,0,0
0,0,0,0,0,0,0,0.00737492152177908,0,0
0.038245,0,0.04035,0,0,0,0.019596,0,0.019404,0.020874
0,0,0.00972,0,0,0,0,0,0,0
0,0,0,0.0200340540311174,0,0,0,0,0,0
0,0,0,0,0,0,0.023495,0,0,0
0,0,0.00259313254952488,0,0,0.00136779513609277,0.00524329843775165,0,0.00252504429054598,0.00252856176517958
0,0,0,0.008609,0,0,0,0,0,0
0.00974793252503954,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0.057643,0.047235,0.086315,0,0.034247,0.071181,0,0.027511,0
0,0,0.007917,0,0,0,0,0,0,0
0.004709,0.01815,0,0.011194,0,0,0.005194,0.01105,0.003518,0
0,0.00723662842892768,0,0,0,0.00706236978981119,0,0,0,0
0.0330831329479769,0.0580746867052023,0,0.0651584115606936,0.0484210231213873,0.0578591028901734,0.0219060104046243,0.0480356670520231,0.033702936416185,0.0311141341040462
0,0,0,0,0,0,0,0,0,0
0,0.0104155930314572,0,0,0,0.00457941641980533,0,0,0.00508390774439272,0
