"t_id","g_id"
1038,"PRAMEF14"
1039,"PRAMEF19"
1040,"PRAMEF16"
1041,"PRAMEF17"
1042,"PRAMEF20"
1043,"LRRC38"
1044,"PDPN"
1045,"PDPN"
1046,"PDPN"
1047,"PDPN"
1048,"PRDM2"
1049,"PRDM2"
1050,"PRDM2"
1051,"PRDM2"
1052,"MSTRG.295"
1053,"MSTRG.295"
1054,"MSTRG.296"
1055,"MSTRG.296"
1056,"MSTRG.296"
1057,"MSTRG.296"
1058,"MSTRG.296"
1059,"MSTRG.296"
1060,"MSTRG.296"
1061,"MSTRG.298"
1062,"MSTRG.299"
1063,"MSTRG.299"
1064,"MSTRG.299"
1065,"MSTRG.299"
1066,"MSTRG.299"
1067,"MSTRG.300"
1068,"MSTRG.301"
1069,"MSTRG.301"
1070,"MSTRG.301"
1071,"MSTRG.301"
1072,"MSTRG.302"
1073,"MSTRG.302"
1074,"MSTRG.298"
1075,"MSTRG.298"
1076,"MSTRG.298"
1077,"MSTRG.298"
1078,"MSTRG.298"
1079,"EFHD2"
1080,"MSTRG.297"
1081,"MSTRG.297"
1082,"CELA2A"
1083,"MSTRG.310"
1084,"MSTRG.311"
1085,"MSTRG.311"
1086,"MSTRG.311"
1087,"MSTRG.311"
1088,"MSTRG.311"
1089,"MSTRG.312"
1090,"MSTRG.312"
1091,"MSTRG.312"
1092,"MSTRG.312"
1093,"MSTRG.312"
1094,"MSTRG.311"
1095,"MSTRG.311"
1096,"MSTRG.311"
1097,"MSTRG.313"
1098,"DDI2"
1099,"RSC1A1"
1100,"PLEKHM2"
1101,"MSTRG.307"
1102,"MSTRG.307"
1103,"MSTRG.308"
1104,"MSTRG.309"
1105,"FBLIM1"
1106,"FBLIM1"
1107,"FBLIM1"
1108,"UQCRHL"
1109,"MSTRG.316"
1110,"MSTRG.316"
1111,"MSTRG.317"
1112,"MSTRG.318"
1113,"MSTRG.318"
1114,"MSTRG.318"
1115,"MSTRG.319"
1116,"MSTRG.320"
1117,"MSTRG.320"
1118,"MSTRG.321"
1119,"MSTRG.314"
1120,"MSTRG.314"
1121,"MSTRG.314"
1122,"MSTRG.314"
1123,"MSTRG.315"
1124,"C1orf64"
1125,"MSTRG.327"
1126,"MSTRG.327"
1127,"MSTRG.327"
1128,"MSTRG.328"
1129,"MSTRG.329"
1130,"MSTRG.329"
1131,"MSTRG.329"
1132,"MSTRG.327"
1133,"MSTRG.327"
1134,"MSTRG.330"
1135,"MSTRG.330"
1136,"MSTRG.331"
1137,"MSTRG.332"
1138,"MSTRG.332"
1139,"MSTRG.332"
1140,"MSTRG.332"
1141,"MSTRG.332"
1142,"MSTRG.332"
1143,"MSTRG.333"
1144,"MSTRG.332"
1145,"MSTRG.332"
1146,"MSTRG.332"
1147,"MSTRG.332"
1148,"MSTRG.332"
1149,"MSTRG.332"
1150,"MSTRG.332"
1151,"MSTRG.332"
1152,"MSTRG.334"
1153,"MSTRG.334"
1154,"MSTRG.324"
1155,"MSTRG.324"
1156,"MSTRG.324"
1157,"MSTRG.324"
1158,"MSTRG.325"
1159,"MSTRG.326"
1160,"MSTRG.322"
1161,"MSTRG.323"
1162,"MSTRG.338"
1163,"MSTRG.338"
